# SELECT * FROM "vid_lists" WHERE "reference" = 'https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18' ORDER BY "createdAt" LIMIT 100 (0.002 s)
url,id,title,downloaded,available,reference,createdAt,updatedAt
https://www.youtube.com/watch?v=rVgMxCQqPro,rVgMxCQqPro,LIGHT EXPEDITION Lv3 (PAIN PURSUER MOROI) FULL AUTO GUIDE!!! (almost 1mil points) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.059+00,2023-02-16 11:36:01.059+00
https://www.youtube.com/watch?v=R0_bNVFh8KE,R0_bNVFh8KE,CAN ZAHHAK DO 1-SHOT BANSHEE 13?,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.062+00,2023-02-16 11:36:01.062+00
https://www.youtube.com/watch?v=CIjWGC4kP4Y,CIjWGC4kP4Y,ONE-SHOT BANSHEE13 with ISERIA (HER S1 DAMAGE IS INSANE!!!) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.657+00,2023-02-16 11:36:01.657+00
https://www.youtube.com/watch?v=6mxNyyScuiY,6mxNyyScuiY,1-SHOT BANSHEE 13 with 100% SUCCESS!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.663+00,2023-02-16 11:36:01.663+00
https://www.youtube.com/watch?v=IR9LePqxOCs,IR9LePqxOCs,ADVENT SIDE STORY: KISS OF FROST - ELISIA (EPIC HELL MODE GUIDE) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.665+00,2023-02-16 11:36:01.665+00
https://www.youtube.com/watch?v=7hsFg1Uyq5U,7hsFg1Uyq5U,1min run AZIMANAK 13 with REM (SHE'S NOT THE BEST FOR THIS HUNT!!) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.667+00,2023-02-16 11:36:01.667+00
https://www.youtube.com/watch?v=BUhbzSyLwu0,BUhbzSyLwu0,ADVENT SIDE STORY GUIDE: KISS OF FROST - ELISIA (AUTO HELL MODE) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.669+00,2023-02-16 11:36:01.669+00
https://www.youtube.com/watch?v=sn6Fb_2Jkmw,sn6Fb_2Jkmw,1min run WYVERN 13 with REM!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.675+00,2023-02-16 11:36:01.675+00
https://www.youtube.com/watch?v=G7KtCLOE-yw,G7KtCLOE-yw,RAM - PVE SHOWCASE (1-SHOT BANSHEE 13 & ICE EXPEDITION Lv3) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.677+00,2023-02-16 11:36:01.677+00
https://www.youtube.com/watch?v=Dtsun9bemXg,Dtsun9bemXg,"1-SHOT WYVERN13 with MINIMUM GEAR REQUIREMENTS (no RAGE SET, no SIGRET, no SSB) - Epic Seven",f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.68+00,2023-02-16 11:36:01.68+00
https://www.youtube.com/watch?v=edGwXJlhhS4,edGwXJlhhS4,"1-SHOT WYVERN 13 (without SINFUL ANGELICA, SIGRET, SSB!!!) - Epic Seven",f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.684+00,2023-02-16 11:36:01.684+00
https://www.youtube.com/watch?v=xZXVE2Z_Dts,xZXVE2Z_Dts,1-SHOT AZIMANAK 13 in 48 SEC (100% SUCCESS RATE!!!) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.692+00,2023-02-16 11:36:01.692+00
https://www.youtube.com/watch?v=Qgtv1KBpeco,Qgtv1KBpeco,ADVENT SIDE STORY: DAZZLED MAGNAR (HELL MODE) - FULL AUTO TEAM!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.857+00,2023-02-16 11:36:01.857+00
https://www.youtube.com/watch?v=nvB362JdUJM,nvB362JdUJM,HOW TO CLEAR DAZZLED MAGNAR (EPIC HELL) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.862+00,2023-02-16 11:36:01.862+00
https://www.youtube.com/watch?v=xnH3Y28yvug,xnH3Y28yvug,3-MAN BANSHEE 13 with CONQUEROR LILIAS!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 11:36:01.864+00,2023-02-16 11:36:01.864+00
